Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Manuela Maffongelli,,,,11:08.90,,,,,,,,,,,
Selina Kuhn,,,,,,,,,,,,12:22.36,,,
Astrid Leutert,,11:24.96,,10:43.26,,10:23.95,9:53.15,,9:50.35,,,,,,
Loriana De Martin,,,,,,,,7:56.89,12:41.92,,,,,,
Cléa Formaz,,,,,10:42.55,,10:25.84,,10:24.40,10:32.05,,,,,
Livia Stingelin,,,,,,,,,,,,,,,14:28.39
Olivia Kurtz,,11:24.99,11:11.10,11:14.48,,,,,,,,,,,
Marina Steinmann,,,12:54.55,,,,,,,,,,,,
Nadine Strasser,7:34.99,,,,,,,,,,,,,,
Lina Miglar,,,11:12.81,11:26.31,11:34.02,,,,,,,,,,
Sonja Borner,,,,,,,,,,12:07.64,,,,,
Tonja Künzler,,,,,12:42.43,12:14.73,13:09.85,,,,,,,,
Alana Vannay,,,,,,,,,,,,,,,11:28.98
Jasmin Hangartner,,,,,,,11:55.55,,,,,,,,
Marliese Bütikofer,,12:12.60,12:05.53,,,,,,,,,,,,
Barblin Remund,,,,,,,,,10:44.18,,,10:29.58,10:36.89,10:57.96,
Nicole Kubli,7:21.12,,,11:40.09,,,,,,,,,,,
Lara Alemanni,,,,,,,,,,,,,,,10:38.74
Eveline Mosimann,,,14:34.98,,,,,,,,,,,,
Arlette Meier-Hunger,,,,,10:10.93,10:41.17,10:48.64,,10:58.48,10:57.18,,,,,
Shirley Lang,,,,,,,,,,,,,,,10:36.16
Rebecca Beer,7:54.80,,,,,,,,,,,,,,
Leonie Saurer,,,,,,,,,,,,,,,10:36.08
Céline Guex,,14:00.91,,,,,,,,,,,,,
Nicole Gmeiner,,10:50.82,,,,,,,,,,,,,
Sibylle Häring,,,,,,,,,,,,10:28.02,10:29.11,10:24.54,10:29.22
Chiara Scherrer,,,,,,,,6:51.76,10:45.53,10:53.40,,10:06.41,9:44.59,9:47.38,9:51.27
Rahel Meili,,,,,,,,,12:17.36,,,,,,
Fabienne Schlumpf,7:54.59,12:16.23,11:06.79,10:57.74,10:51.77,10:22.27,9:55.50,6:31.98,9:37.81,9:40.63,9:30.54,9:21.65,9:22.29,,
Rebekka Lüdin,7:48.75,,,,,,,,,,,,,,
Regina Sonderegger,,,,,11:40.63,,,,,,,,,,
Lea Hefel,,,,,,,,,,,,,,,13:19.19
Andrea Büchel-Dürrenberger,7:20.50,11:12.58,,,,,,,,,,,,,
Ioanna Motschan-Armen,,,,,,,,,,,15:50.20,,,,13:40.90
Aita Ammann,,,,,,,,,,,,,11:06.10,,
Céline Diethelm,,,,11:46.70,,,,,,,,,,,
Fiona Lang,,,,,,,,,,,,,,,11:57.57
Delia Scherrer,,,,,,,,7:24.41,,,,,,,
Molly Renfer,,,,,,,,,,,10:05.50,,,,
Romane Wolhauser,,,,,,,,,,,,,,,11:24.40
Valerie Widmer,,,,,,,,,,,,11:22.01,,,
Durka Frey,,,,,,,10:15.34,,,,,,,,
Martina Süess,,,,,,,,,,,,,,12:28.47,
Séline Helfenberger,,,,,,,,8:06.30,,,,,,,
Marjolaine Jaccoud,,,12:44.27,,,,,,,,,,,,
Martina Tresch,7:35.02,,,10:50.64,10:04.27,9:51.96,,,10:16.08,,,10:13.73,10:15.99,,
