Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominik Lötscher,10:19.60,,,,,,10:15.62,,10:06.75,,,,,,
Sébastien Witschi,,,,,,,,,,12:21.36,,,,,
Matthäus Tschirky,,10:56.46,,,,,,,,,,,,,
François Borner,,,,,,,,,,10:48.23,,,,,
Ivan Minini,,,,,11:06.64,,,,,,,,,,
Jérémy Kahr,,,,,,,,,,,11:20.76,,,,
Florian Hilti,,10:08.37,,,,,,,,,,,,,
Hector Reguera,,,,,,,10:30.76,,,,,,,,
Philipp Bislin,,,,10:37.35,,,,,,,,,,,
Pius Stucki,9:09.93,9:26.78,,,,,,,,,,,,,
Peter Kreienbühl,9:49.15,9:53.76,,,,,,,,,,,,,
Michele Lardi,,,,,,,,,,11:15.64,,,,,
Silas Keller,,,,,,,,,,,,12:37.01,,,
Maxime Barbe,11:40.52,,,,,,,,,,,,,,
Eric Revuelta,,11:10.32,,,,,,,,,,,,,
Steve Bernard,,,,12:07.81,,,,,,,,,,,
Patrick Nispel,9:13.21,9:20.60,8:59.36,9:07.11,,,,,,,,,,,
Kevin Breitenberger,,,,,9:39.69,9:56.41,,,,,,,,,
Samuel Cotture,,10:59.79,,,,,,,,,,,,,
Tobias Lüthi,,,,,,10:14.60,10:20.89,,,10:12.84,10:26.83,10:29.52,,10:31.77,10:54.14
Joël Borner,,,,,,,,,,10:26.48,,,,,
Corentin Beffa,,,,,,,,,,12:58.38,,,,,
Jean-Luc Hofer,11:10.99,,,10:36.19,,,,,,11:12.87,,,,,
Abdirahman Ciise Nur,,,,,,,,,,9:32.67,,,,,
Marco Maffongelli,10:23.58,,,,,,,,,,,,,,
Grégory Wyss,,10:07.44,,,,,,,,,,,,,
Erich Huber,10:21.52,,10:35.96,,,,,,,,,,,,
Samir Vetterli,,,,12:35.58,,,,,,,,,,,
Severin Sager,,,,9:37.70,,,,,,,,,,,
Hannes Elmer,,10:11.74,,10:25.04,,,,,,,,,,,
Daniel Thür,,10:13.16,,,,,,,,,,,,,
Christian Leu,,,,,,,,,,,,,,,10:25.60
Simon Waldis,10:01.66,,,,,,,,,,,,,,
Silvan Marfurt,9:42.46,9:48.14,9:49.91,,,,,,,,,,,,
Arnaud Maillard,11:16.99,,,,,,,,,,,,,,
Simon Haberkorn,13:50.62,,,,,,,,,,,,,,
Nicolas Salvadé,,,,,,11:29.39,,,,,,,,,
Yannick Jeanmaire,,,,,,,,,,,10:05.57,9:59.67,,,
Patrik Wägeli,,,,,,,,,9:48.95,,9:23.74,,,,
Antoine Grandjean,,,,,,,,,10:28.48,10:20.79,,,,,
Joel Schnell,,,,11:23.74,,,,,,,,,,,
Urs Hans,,,,11:39.10,,,,,,,,,,,
Nicolò Brivio,,,,,,10:34.49,,,,,,,,,
Nicola Luisoni,,,,,,,,,,13:49.11,,,,,
Michael Huber,10:21.82,,9:57.56,,,9:56.83,,,9:54.18,,,,,,
