Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ramona Mani,2:31.22,2:30.49,2:28.71,,,2:22.57,,,,,,,,,
Sabrina Näpflin,,,,,,2:27.18,,,,,,,,,
Marion Zimmerlin,,,,,,,,,,2:24.68,,,,,
Sandra Allemann,2:52.23,,,,,,,,,,,,,,
Leonie Schilliger,,,,,,,,,,2:30.05,2:24.48,2:23.03,2:19.04,2:21.29,
Elisabeth Warzinek,2:23.84,,,,,,,,,,,,,,
Viviane Renz,,,,,,,,,,,2:56.86,,,,
Ramona Casanova-Baumgartner,,,3:01.34,2:48.30,,,,,,,,,,,
Lilian Spöring,2:35.90,,,,,,,,,,,,,,
Priska Kälin,,,2:40.88,2:32.20,,,2:35.43,,,,,,,,
Fabienne Kleinhenz,,,,,,,,,,,,,2:49.71,,
Sara Zarro,,,2:43.55,2:42.20,,,,,,,,,,,
Lena Barczay,,,,,,,2:47.09,2:44.95,,,,,,,
Camille Scheurer,,,,,,,,,,,,,,2:29.41,2:29.79
Jessica Reust,,,,2:58.80,2:46.26,,3:05.89,,,,,,,,
Corinne Stäuble,,,,,,,,2:41.13,2:38.17,2:36.35,2:40.36,,2:33.18,,
Emanuela Simona,,2:51.48,,,,,,,,,,,,,
Anina Schaer,,,,,2:56.48,,,2:47.68,,,,,,,
Stefania Barloggio-Lupatini,,,,,,2:25.36,2:29.00,2:24.02,,,,,,,
Antonia Gmünder,,,,,,,,,,,,2:34.74,2:38.09,2:45.93,2:31.46
Kim Flattich,,,,,,,,,2:42.41,2:44.45,,2:44.33,,,
Larissa Altherr,,,,,,,,3:39.83,,3:06.10,,,2:51.12,,
Laura Hegner,,,,,,,,,,,,,2:53.19,,
Caroline Liechti,,2:58.22,,,,,,,,,,,,,
Maëline Ngayo Fotso,,,,,,,,,,,,,2:32.41,,
Svenja Walser,,,,,,,,3:29.65,,,,,,,
Tiffany Langel,2:15.73,2:15.97,2:16.90m,,2:15.34,2:11.17,2:13.65,2:13.47,,2:18.86,,,,,
Fabienne Häberlin,,2:43.69,,,,,,,,,,,,,
Moira Di Domenico,,,2:41.48,2:36.25,2:31.12,,,,,,,,,,
Céline Marthe,,,,,,2:45.95,,2:38.69,2:39.01,,,,,,
Susanne Frey,2:27.93,2:24.25,,2:25.69,,,,,,,,,,,
Maureen Jordan,,,,,,,2:21.33,2:15.37,2:11.43,2:10.44,2:09.52,,2:20.60,,
Tanja Bösch,,,2:32.52,2:32.42,,,,,,,,,,,
Nela Masina,,,,,,,,,,,3:57.10,,,,
Alice Baggi,,,,,,,,,,,,,,,2:32.66
Aline Stierli,,,,2:38.16,,2:29.62,,2:33.73,,,,,2:45.08,,
Fabiana Galati,2:26.86,,,,,,,,,,,,,,
Camille Fasel,,,,,,,,,,,,,2:54.81,,
Franziska Straubhaar,2:23.27,2:21.90,2:24.52,2:22.71,2:18.33,,,,,,,,,,
Lorena Tanner,,,2:43.94,,,,,,,,,,,,
Selina Giger,,,,,,4:29.38,,,,,,,,,
Lou Del Notaro,,,,,,,,,,,2:27.13,,,,
Mahara Rösli,,,,,,,,,,,,2:25.64,2:24.03,2:28.74A,
Sandra Aebi,,,,2:43.93,,,,,,,,,,,
Sibylle Rüegger,,,,,,,2:24.62,2:21.23,2:19.16,2:18.30,2:19.92,2:14.85,2:18.49,,
Karin Glanzmann,2:12.69,,,,,,,,,,,,,,
Debora Eggmann,,,,,,,3:17.41,3:08.91,,3:03.86,,,,,
Mirja Jenni-Moser,2:17.47,,,,,,,,,,,,,,
Greta Sökeland,,,,,,2:36.32,2:42.75,,,,,,,,
Julie Darioli,,,,,,,,,,,,,,,2:46.65
