Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Frédéric Roggo,2:11.12,2:05.73,2:02.46,2:01.40,2:00.44,2:01.42,,2:00.56,,2:03.20,2:00.61,2:03.34,2:08.55,,
Dominic Müller,,,,,,,2:00.07,2:02.02,1:58.06,2:00.93,,2:01.52,1:59.39,,
Léo Willemin,,,,,,,,,,2:18.08,2:11.36,2:03.88,2:02.16,,
Romeo Nicoli,,,,2:07.62,2:05.08,,2:08.66,2:06.78,,,,,,,
Alessandro Schiavone,1:56.53,1:51.54,1:50.11,,,,,,,,,,,,
Anton Grünenfelder,,,,,,,,,,,,,,2:10.44,
Osman Dautaj,,,,2:10.57,2:08.96,2:08.47,,,,,,,,,
Jonathan Geppert,,,,,2:19.31,,,,,,,,,,
Severin Sager,,2:06.54,,,,,,,,,,,,,
Marco Venzi,,,,2:12.44,,,,,,,,,,,
Julien Wyss,,,,,,,,,,2:26.99,,2:19.92,,,
Simon Golay,,,,,,,,,,,,2:08.03,,2:01.88,
Martin Mirchev,,,,,,,,,,,,2:23.31,,,
Lukas Marti,,,,,,,,,,1:59.34,,,,,
Habtom Gebrekristos,,,,,,,,,,,,,2:01.84,1:58.95,
Christopher Willcocks,,,,,2:21.79,2:09.48,2:17.84,2:18.67,,,,,,,
Thomas Bruchez,,,,,,,,,,,2:22.36,2:09.32,2:08.60,,
Lukas Kuonen,2:02.24,1:57.74,1:56.52,1:54.34,,,,,,,,,,,
Samuel Solomon,,,,,,,,,,,,,,2:19.85,
Fabian Höbel,,,,,,,,,,,,,,,2:08.15
Lukas Halef,,,,,,,,,2:06.18,,,,,,
Jaryd Mercer,,,,,,,,,,,,,2:00.75,1:57.53,
Laurent Nendaz,2:04.93,,,,,,,,,,,,,,
Samuel Thomas Müller,,,,,,,,,,,2:00.88,,,,
Samuel Steiner,,,,,,,,2:21.76,,,,,,,
Luka Wanner,,,,,,,,,,,,2:07.71,2:02.72,,2:00.13
Joël Caloz,,,,,,,,,,2:04.98,2:02.75,2:00.69,1:58.56,,1:58.40
Anthony Torti,,,,,,,,,,,,,2:07.07,2:04.65,
Dominik Fischer,,,,,2:12.37,2:04.07,2:00.18,1:59.26,2:00.42,,,,,,
Mattias Klopfenstein,,,,,,,,,,2:11.80,2:11.36,2:04.23,2:01.35,2:06.32,
Michael Schmid,2:11.09,,,,,,,,,,,,,,
Robin Yates,,2:07.13,2:06.00,,,,,,,,,,,,
Ali Hakimi,,1:50.55,,1:52.13,,,,,,,,,,,
Arthur Iskander,,,,,,,,,,,2:04.86,2:02.02,2:03.74,,
Mathieu Carroz,,,,,,,,,,2:20.48,2:22.23,,,,
Aurelio Frei,,,,2:19.58,,,,,,,,,,,
Dominik Büttler,,,,,,,,,,2:14.56,,2:13.93,,2:19.53,
Mario Bächtiger,1:52.89,1:49.54,1:49.88,1:48.94,1:48.23,1:49.51,1:49.11,1:48.89,,1:53.32,1:52.84,,,,
Marc-Philippe Röösli,,,2:20.24,2:12.10,,,,,,,,,,,
Yadin Schärer,,,,,,,,,,,,,,,2:19.75
Cornel Brunner,,2:03.52,2:03.19,,2:04.90,2:11.95,,2:05.75,2:05.58,,2:10.30,2:08.27,,,
Ulisses Joos,,,,,,,,,,,,,2:02.96,,
Gilles Magnin,,,,,,,2:00.61,1:56.58,,,,,,,
Jan Buess,,,,,,,,,,2:18.47,,,,,
Thibault Curty,,,,,,,,,,2:05.75,2:07.49,2:03.22,2:01.12,,
Adrien Farquet,,,,,,,,,,,,,2:23.27,,
Allan Bonjour,,,,2:17.14,2:03.83,1:59.95,1:58.10,2:01.34,,1:55.55,1:55.19,1:55.51,1:58.23,1:58.50,
Michael Strub,,,,2:37.12,,,,,,,,,,,
Bruno Stolz,,,,,,,,2:22.50,,,,,,,
Marc Beieler,,,,,2:06.03,,,,,,,,,,
Dominic Barmet,,,,,,,,2:00.32,2:03.20,,,,,,
Nicolas Pracht,,,,,,,,,,,1:55.83,1:56.11,1:53.36,1:59.11,
Thomas Gmür,,,,,2:13.21,2:00.32,1:56.01,1:51.69,1:53.48,1:51.85,1:52.09,1:52.81,1:52.86,1:54.60,1:51.77
Philipp Mühlebach,,2:05.47,2:06.39,,,,,,,,,,,,
Julian Rühl,,2:27.34,,,,,,,,,,,,,
Miguel Matos,,,,,,,,,,,,,,1:59.82,2:00.50
David Noé,,,,,,,,,,,2:28.64,,,,
Diego Klopfenstein,,,,,,,,2:04.52,,1:59.04,1:56.36,1:57.77,1:55.49,1:52.54,1:52.19
Marco Delorenzi,,,,,,,,,,2:17.00,2:16.43,,,,2:09.98
Dan Schönenberger,,,,,,,,,,,2:07.30,2:04.08,2:03.34,,
Piero Lorenzini,,,,,,2:18.76,,2:01.08,2:00.33,1:57.06,1:54.10,1:55.49,1:57.21,,
Giulio Galante,,,,,,,,,,,,,,2:13.87,
Brhane Solomon,,,,,,,,,,,,,2:13.14,,
Grégory Wyss,,,,2:02.03,,,,,,,,,,,
Arnaud Schwab,,,,,,2:08.60,2:03.46,2:25.23,2:00.20,,,,,,
Marc Beyeler,1:59.40,2:01.22,,,,,,,,,,,,,
Ruben Bontorno,,,,,,,,,,,,,2:07.67,2:05.19,2:09.00
Jérémy Mayoraz,,,,,,,,,2:05.83,,1:59.26,2:03.67,,,
Elias Jordan,,,,,,,,,,,2:20.33,2:16.54,,,2:13.87
Fabian Jobin,,2:15.55,2:19.31,,,,,,,,,,,,
Simon Kaiser,,,,,,,2:10.21,,,,,,,,
Andreas Schmutz,,2:16.13,,,,,,,,,,,,,
Sandro Egli,,,,,,,,,,,3:24.20,,,,
Levin Rohrer,,,,,,,2:09.35,,,,,,,,
Julian Linden,,,,,2:25.92,,,,,,,,,,
Luca Schaltegger,,,,,,,,,,2:39.69,,,,,
Patrick Dubach,,,,2:03.64,2:01.69,2:00.13,1:58.86,,,,,,,,
Matthias Ferrari,,,,2:02.90,2:01.33,,,,,,,,,,
Yonas Araya,,,,,,,,,,2:07.90,,,,,
Ben Wegelin,,,,1:59.20,1:59.19,1:58.62,,2:05.86,,,,,,,
Nick Spörri,,,,,,3:07.58,,,,,,,,,
Kevin Breitenberger,2:05.67,1:58.83,2:02.42,1:56.59,1:56.74,1:55.44,,,,,,,,,
Andrin Maggi,1:59.70,,,,,,,,,,,,,,
David Bertschi,1:57.53,,,,,,,,,,,,,,
Matthias Thöny,2:09.64,,,,,,,,,,,,,,
Jakub Bossowski,,,,2:06.49,2:05.98,2:06.75,2:08.93,,,,,,,,
Florian Kaelin,,2:18.48,2:09.05,2:08.25,,,,,,,,,,,
Valerio de Bortoli,,,,,,,,,,2:13.24,2:09.13,,,,
Bart Hoogenboom,,2:00.49,,,,,,,,,,,,,
Ramon Flammer,,,,,,2:23.37,2:16.68,,,,,,,,
Léo Bringel,,,,,,,,,,2:14.41,,,,,
Ronny Schneeberger,,,,,,,,,,,,,,2:03.42,
Benedikt Bünz,,,,,,1:56.25,1:54.68,1:54.85,1:57.85,1:56.43,,,,,
Kevin Wilk,,,,,,,,,2:56.59,,,,,,
Philip Marshall,1:52.30,,,,,,,,,,,,,,
Matteo Ilija Sagolj,,,,,,,,,,,,2:02.83,2:01.15,,
Luiz Corti,,,,,,,,2:13.85,2:07.24,2:05.10,,,,,
Florin Ayer,,,,,,2:00.22,1:59.90,1:58.84,1:56.83,1:55.27,,1:55.85,,2:00.36,
Jacobo Zunzunegui Gomez-Gil,,,,,,,,,,,,2:11.51,2:09.56,,
Thomas Racine,,,,2:17.86,,,2:07.16,,,,,,,,
Samuel Häller,,,,,2:03.22,,,,,,,,,,
Angelo Birrer,,,,,,,,,,2:11.75,,,,,
Tobias Abfalter,,,,,,2:00.71,,,,,,,,,
Mario Ruh,,,,,,,2:15.74,,,,,,,,
Roman Frischknecht,,,,,,,,3:21.09,,3:05.01,,,,,
Raphael Kunz,,,,,,,,,,,2:05.08,2:04.34,2:04.32,,
Samuel Aemisegger,,,,,,,,2:16.26,2:08.16,2:06.39,,,,,
Donat Vetsch,,,,2:22.94,,,,,,,,,,,
Jean-Robert Rémy,,,,,,,,,,,,,,2:39.72,
Jens Oeschger,,,,,,,,,,,,,,,2:37.90
Matteo Ducoli,,,,2:34.28,,,,,,,,,,,
Jonas Eberle,,,,,,,,,,,2:24.70,,,,
Mathias Hodel,,,,,,,,,2:08.45,2:03.23,,,,,
Simon von Siebenthal,,,,,,,,,2:11.72,2:17.25,,,,,
Max Cuénoud,,,,,,2:26.51,,,,,,,,,
Narkym Leiber,,,,,,,,,,,2:08.24,,,,
Reto Schwengeler,1:52.80,,,,,,,,,,,,,,
Patrick Bryner,1:54.07,,,,,,,,,,,,,,
Daniel Baumgartner,1:54.28,1:52.87,1:51.45,1:50.76,1:52.36,1:50.42,1:50.81,1:50.74,1:57.74,,,,,,
Dominik Ummel,,,,,,,,,2:09.14,1:59.54,1:55.12,1:57.00,1:51.58,1:52.66,1:52.89
Andreas Felix,1:48.69,1:50.19,1:50.87,,,,,,,,,,,,
Severin Pfändler,,,,,,,,,,,2:46.48,,,,
Oliver Tschudin,,,,,,,,,,,,,1:59.43,2:02.12,
Moussab Ibrahim,,,,,,,,,,,,,,2:10.28,2:07.37
Nicolas Salvadé,,,,,,2:06.79,2:01.01,1:58.01,1:56.00,2:01.89,1:55.21,1:53.89,,1:58.65,
Samuel Agyapong,,,,,,,,,,,,,,2:09.24,2:07.92
Aaron Irniger,,,,,,,,,,,,,2:13.97,,
Tim Huber,,,,,,,,,,,3:24.94,,,,
Arjuna Sivakumaran,2:01.78,,2:01.14,,,,,,,,,,,,
Florian Renevey,,,,,2:20.59,,,,,,,,,,
Arnaud Dupré,,,,,,,,1:56.04,1:54.07,1:51.98,1:51.69,1:50.99,1:49.94,1:50.44,1:51.72
Manuel Walss,,,,,,,,,,,,,,,2:02.57
Miro Joël Flattich,,,,,,,2:26.62,,2:08.47,2:03.68,2:00.44,1:59.03,,,
Jonas Gavillet,,,2:03.82,1:58.00,2:04.05,,,,,,,,,,
Mathieu Vasey,,,,,,2:13.24,,,,,,,,,
Joel Hüppin,,2:27.48,,2:14.71,,,,,,,,,,,
Vincent Notz,,,,,,,,,2:02.15,,,,,1:53.10,1:52.02
Pascal Buri,,,,,,,,,,2:01.55,1:57.32,1:56.62,,,
Cheikh Talibouya Koné,,,,,,,,,1:58.09,,,,,,
Seya Küng,,,,,,,,,,,2:20.51,,,,
Abel Mulugeta,,,,,,,,2:16.30,2:02.17,1:59.79,,,,,
Yanik Deiss,,,,,,,,,,,,,,2:11.13,2:07.44
Björn Gröning,,,,,2:25.30,,,,,,,,,,
Kidane Emane,,,,,,,2:13.02,,,,,,,,
